model,params [K],jevois_latency [ms],sipeed_latency [ms],kmodel_memory [KB],cpu_latency [ms],accuracy,token_sequence,model_info
model_0507,14.038,7,38.16,96.78,88.73,0.76,"[206, 300, 177, 143, 39, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0508,15.783,27,262,1270.08,89.23,0.87,"[196, 255, 62, 58, 248, 382]","{""0"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0509,7.976,3,53.85,111.1,83.9,0.49,"[319, 132, 227, 104, 48, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0510,317.442,91,4721.11,1547.68,90.34,0.49,"[51, 39, 163, 277, 160, 382]","{""0"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0511,24.457,8,334.48,73.96,80.51,0.83,"[237, 28, 124, 167, 381, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""dropout"", 0.2], ""5"": [2, ""softmax""]}"
model_0512,11.626,4,27.87,583.46,79.74,0.8,"[144, 288, 330, 133, 24, 382]","{""0"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0513,2.075,5,16.66,54.7,86.69,0.51,"[208, 261, 198, 227, 63, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0514,1.658,6,5.35,27.48,95.83,0.72,"[152, 41, 84, 343, 237, 382]","{""0"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0515,4.888,2,26.17,68.8,85.01,0.8,"[250, 90, 283, 37, 290, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0516,0.776,3,29.8,110.59,83.35,0.51,"[259, 70, 308, 347, 336, 382]","{""0"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 16, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0517,13.65,10,237.18,518.4,87.94,0.73,"[54, 206, 280, 313, 214, 382]","{""0"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0518,16.066,24,929.27,376.83,84.82,0.49,"[163, 194, 13, 331, 103, 382]","{""0"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0519,34.81,33,355.54,803.74,84.9,0.78,"[65, 97, 254, 146, 107, 382]","{""0"": [""Conv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0520,8.497,13,38.59,213.62,84.42,0.8,"[235, 136, 77, 230, 69, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0521,18.018,26,1736.35,708.7,84.03,0.79,"[68, 85, 88, 307, 167, 382]","{""0"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0522,37.086,6,53.15,127.01,83.06,0.61,"[191, 350, 110, 283, 147, 382]","{""0"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0523,2.048,2,26.22,54.45,81.79,0.77,"[285, 69, 56, 317, 304, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0524,3.864,2,24.69,54.45,81.7,0.75,"[213, 168, 36, 299, 76, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0525,5.736,7,81.19,276.77,83.44,0.51,"[248, 137, 146, 197, 34, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [3, 3], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0526,3.914,23,284.69,307.22,86.21,0.51,"[13, 43, 67, 227, 283, 382]","{""0"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0527,2.826,4,73.44,145.86,83.93,0.84,"[35, 182, 90, 284, 44, 382]","{""0"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0528,4.057,2,26.95,54.7,82.92,0.51,"[311, 150, 302, 114, 186, 382]","{""0"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0529,8.762,16,251.97,857.3,83.93,0.75,"[101, 39, 177, 41, 271, 382]","{""0"": [""Conv2D"", 24, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0530,0.161,1,6.35,61.06,81.43,0.49,"[354, 224, 227, 310, 291, 382]","{""0"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0531,7.474,10,49.87,183.2,83.61,0.51,"[43, 327, 153, 65, 18, 382]","{""0"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0532,114.544,17,81.31,437.59,87.54,0.81,"[243, 84, 74, 337, 111, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0533,5.706,10,129.46,368.64,83.64,0.49,"[176, 319, 335, 94, 335, 382]","{""0"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0534,4.722,86,5440.88,884.74,88.48,0.49,"[99, 87, 307, 22, 237, 382]","{""0"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 8, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0535,10.81,9,34.61,725.92,78.7,0.75,"[178, 111, 107, 116, 226, 382]","{""0"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0536,141.888,23,1145.19,336.2,88.94,0.8,"[243, 22, 121, 110, 158, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0537,7.457,7,87.49,94.3,95,0.51,"[309, 87, 104, 30, 346, 382]","{""0"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0538,1.441,3,55.29,183.2,85.27,0.73,"[200, 155, 43, 313, 360, 382]","{""0"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0539,41.442,56,2265.76,753.66,85.97,0.81,"[74, 146, 91, 211, 64, 382]","{""0"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0540,20.666,44,928.42,3471.55,86.95,0.51,"[97, 239, 14, 331, 97, 382]","{""0"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0541,2.498,21,734.88,488.47,85.37,0.49,"[88, 282, 223, 223, 347, 382]","{""0"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0542,19.122,29,413.1,1474.56,84.4,0.51,"[175, 247, 135, 39, 70, 382]","{""0"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 16, [3, 3], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0543,5.288,3,34.21,146.56,82.67,0.82,"[185, 144, 154, 238, 52, 382]","{""0"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0544,18.848,26,432.48,1143.07,88.77,0.49,"[313, 139, 294, 97, 341, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0545,10.034,10,230.87,403.44,83.46,0.51,"[2, 286, 157, 342, 284, 382]","{""0"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0546,319.224,85,622.47,1008.03,88.95,0.51,"[206, 109, 325, 194, 149, 382]","{""0"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0547,280.682,92,,5535.36,89.97,0.49,"[170, 241, 295, 266, 349, 382]","{""0"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0548,6.05,8,29.3,580.74,82.32,0.76,"[2, 142, 330, 285, 340, 382]","{""0"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0549,6.126,5,105.89,437.59,95.57,0.51,"[107, 216, 155, 195, 362, 382]","{""0"": [""Conv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""4"": [""Dense"", 4, ""relu""], ""5"": [2, ""softmax""]}"
model_0550,0.648,3,22.21,69.19,85.71,0.77,"[356, 29, 288, 191, 340, 382]","{""0"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0551,7.122,5,115.59,121.12,82.79,0.72,"[131, 152, 81, 168, 229, 382]","{""0"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0552,10.738,9,33.26,725.92,82.66,0.83,"[178, 3, 176, 26, 106, 382]","{""0"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0553,6.506,5,110.06,95.26,83.59,0.51,"[93, 209, 220, 327, 295, 382]","{""0"": [""Conv2D"", 24, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0554,4.244,1,7.38,54.7,80.34,0.51,"[276, 273, 41, 336, 373, 382]","{""0"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [""Dense"", 28, ""sigmoid""], ""5"": [2, ""softmax""]}"
