model,params [K],jevois_latency [ms],sipeed_latency [ms],kmodel_memory [KB],cpu_latency [ms],accuracy,token_sequence,model_info
model_0022,31.298,58,3158.37,2883.58,89.32,0.87,"[64, 88, 328, 314, 23, 382]","{""0"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0023,1.706,9,19.81,146.56,82.68,0.65,"[113, 298, 338, 264, 19, 382]","{""0"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0024,13.498,6,156.36,147.92,94.02,0.51,"[165, 297, 142, 193, 231, 382]","{""0"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0025,1.502,3,16.75,58.08,85.88,0.84,"[182, 251, 104, 274, 318, 382]","{""0"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0026,46.681,14,631.07,539.78,86.6,0.51,"[306, 13, 88, 317, 86, 382]","{""0"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0027,9.858,4,302.71,123.11,82.61,0.79,"[166, 166, 51, 286, 295, 382]","{""0"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0028,5.985,10,154.22,719.12,86.91,0.51,"[301, 180, 307, 53, 1, 382]","{""0"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0029,1.238,3,31.23,110.59,83.27,0.8,"[221, 318, 64, 7, 347, 382]","{""0"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0030,164.888,11,30.37,61.06,89.22,0.51,"[279, 354, 283, 140, 369, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""4"": [""Dense"", 20, ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0031,14.362,11,109.2,496.34,82.95,0.88,"[102, 306, 26, 87, 284, 382]","{""0"": [""Conv2D"", 24, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
