model,params [K],sipeed_latency [ms],kmodel_memory [KB],cpu_latency [ms],accuracy,token_sequence,length,model_info
model_0587,590.14,,0.0,180.09,,"[36, 17, 12, 34, 39, 22, 14, 21, 39, 37, 35, 2, 45, 47, 6, 35, 32, 45, 13, 14, 22, 7, 49]",23,"{""0"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""1"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""2"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""3"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""4"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""5"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""6"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""7"": [""Conv2D"", 512, [1, 1], [1, 1], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""9"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""10"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""11"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""12"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""13"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""14"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""15"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""16"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""17"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""18"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""19"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""20"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""21"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""22"": [""end"", 0.001, 2, ""softmax""]}"
model_0588,1235.362,,0.0,409.14,,"[5, 34, 44, 46, 9, 29, 13, 43, 5, 46, 22, 29, 28, 48, 19, 35, 49]",17,"{""0"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""2"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""3"": [""ZeroPadding2D"", [[1, 0], [1, 0]]], ""4"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""5"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""6"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""7"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""8"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""9"": [""ZeroPadding2D"", [[1, 0], [1, 0]]], ""10"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""11"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""12"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""13"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""14"": [""Conv2D"", 256, [3, 3], [1, 1], ""same""], ""15"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""16"": [""end"", 0.001, 2, ""softmax""]}"
model_0589,1303.654,16.5,61.06,181.66,0.5,"[40, 29, 4, 19, 23, 26, 6, 38, 27, 32, 45, 39, 41, 1, 15, 8, 49]",17,"{""0"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""1"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""2"": [""Conv2D"", 16, [3, 3], [2, 2], ""same""], ""3"": [""Conv2D"", 256, [3, 3], [1, 1], ""same""], ""4"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""5"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""6"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""7"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""9"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""10"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""11"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""12"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""13"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""14"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""15"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""16"": [""end"", 0.001, 2, ""softmax""]}"
model_0590,2555.91,,0.0,214.52,,"[25, 34, 43, 23, 4, 26, 39, 14, 18, 47, 34, 19, 12, 24, 29, 33, 19, 21, 32, 35, 33, 35, 33, 41, 44, 5, 49]",27,"{""0"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""1"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""2"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""3"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""4"": [""Conv2D"", 16, [3, 3], [2, 2], ""same""], ""5"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""6"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""7"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""8"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""9"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""10"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""11"": [""Conv2D"", 256, [3, 3], [1, 1], ""same""], ""12"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""13"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""14"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""15"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""16"": [""Conv2D"", 256, [3, 3], [1, 1], ""same""], ""17"": [""Conv2D"", 512, [1, 1], [1, 1], ""same""], ""18"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""19"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""20"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""21"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""22"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""23"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""24"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""25"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""26"": [""end"", 0.001, 2, ""softmax""]}"
model_0591,11.754,55.21,327.68,105.77,0.5,"[36, 25, 31, 45, 30, 45, 6, 36, 32, 35, 17, 49]",12,"{""0"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""2"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""3"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""4"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""5"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""6"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""7"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""9"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""10"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""11"": [""end"", 0.001, 2, ""softmax""]}"
model_0592,827.778,34.75,80.91,132.16,0.5,"[2, 38, 40, 42, 16, 38, 25, 48, 15, 41, 34, 41, 16, 36, 18, 8, 35, 32, 1, 16, 3, 8, 45, 9, 41, 33, 24, 48, 39, 26, 9, 49]",32,"{""0"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""2"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""3"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""4"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""5"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""6"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""7"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""8"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""9"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""10"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""11"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""12"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""13"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""14"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""15"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""16"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""17"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""18"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""19"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""20"": [""Conv2D"", 16, [3, 3], [1, 1], ""same""], ""21"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""22"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""23"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""24"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""25"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""26"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""27"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""28"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""29"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""30"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""31"": [""end"", 0.001, 2, ""softmax""]}"
model_0593,1198.61,,0.0,134.08,,"[12, 22, 12, 16, 4, 2, 26, 7, 44, 30, 46, 38, 3, 15, 19, 8, 29, 19, 16, 26, 49]",21,"{""0"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""1"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""2"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""3"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""4"": [""Conv2D"", 16, [3, 3], [2, 2], ""same""], ""5"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""6"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""7"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""8"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""9"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""10"": [""ZeroPadding2D"", [[1, 0], [1, 0]]], ""11"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""12"": [""Conv2D"", 16, [3, 3], [1, 1], ""same""], ""13"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""14"": [""Conv2D"", 256, [3, 3], [1, 1], ""same""], ""15"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""16"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""17"": [""Conv2D"", 256, [3, 3], [1, 1], ""same""], ""18"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""19"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""20"": [""end"", 0.001, 2, ""softmax""]}"
model_0594,1986.002,34.75,287.36,113.42,0.5,"[4, 46, 14, 10, 22, 32, 26, 19, 1, 6, 4, 15, 32, 22, 1, 20, 35, 26, 20, 49]",20,"{""0"": [""Conv2D"", 16, [3, 3], [2, 2], ""same""], ""1"": [""ZeroPadding2D"", [[1, 0], [1, 0]]], ""2"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""3"": [""Conv2D"", 64, [1, 1], [2, 2], ""same""], ""4"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""5"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""6"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""7"": [""Conv2D"", 256, [3, 3], [1, 1], ""same""], ""8"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""9"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""10"": [""Conv2D"", 16, [3, 3], [2, 2], ""same""], ""11"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""12"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""13"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""14"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""15"": [""Conv2D"", 256, [3, 3], [2, 2], ""same""], ""16"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""17"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""18"": [""Conv2D"", 256, [3, 3], [2, 2], ""same""], ""19"": [""end"", 0.001, 2, ""softmax""]}"
model_0595,244.978,,0.0,121.41,,"[13, 8, 1, 13, 47, 14, 18, 48, 35, 21, 30, 41, 47, 49]",14,"{""0"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""1"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""2"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""3"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""4"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""5"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""6"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""7"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""9"": [""Conv2D"", 512, [1, 1], [1, 1], ""same""], ""10"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""11"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""12"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""13"": [""end"", 0.001, 2, ""softmax""]}"
model_0596,1081.346,,0.0,137.69,,"[11, 20, 12, 30, 18, 9, 47, 19, 40, 44, 47, 26, 20, 49]",14,"{""0"": [""Conv2D"", 64, [3, 3], [1, 1], ""same""], ""1"": [""Conv2D"", 256, [3, 3], [2, 2], ""same""], ""2"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""3"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""4"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""5"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""6"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""7"": [""Conv2D"", 256, [3, 3], [1, 1], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""9"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""10"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""11"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""12"": [""Conv2D"", 256, [3, 3], [2, 2], ""same""], ""13"": [""end"", 0.001, 2, ""softmax""]}"
model_0597,192.898,0.0,2032.64,158.26,,"[10, 29, 19, 25, 34, 28, 40, 33, 1, 33, 34, 38, 11, 33, 43, 4, 39, 49]",18,"{""0"": [""Conv2D"", 64, [1, 1], [2, 2], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""2"": [""Conv2D"", 256, [3, 3], [1, 1], ""same""], ""3"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""4"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""5"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""6"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""7"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""8"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""9"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""10"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""11"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""12"": [""Conv2D"", 64, [3, 3], [1, 1], ""same""], ""13"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""14"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""15"": [""Conv2D"", 16, [3, 3], [2, 2], ""same""], ""16"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""17"": [""end"", 0.001, 2, ""softmax""]}"
model_0598,1879.938,0.0,2113.54,193.52,,"[11, 4, 25, 24, 15, 44, 23, 15, 4, 45, 48, 28, 49]",13,"{""0"": [""Conv2D"", 64, [3, 3], [1, 1], ""same""], ""1"": [""Conv2D"", 16, [3, 3], [2, 2], ""same""], ""2"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""3"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""4"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""5"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""6"": [""Conv2D"", 512, [3, 3], [1, 1], ""same""], ""7"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""8"": [""Conv2D"", 16, [3, 3], [2, 2], ""same""], ""9"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""10"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""11"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""12"": [""end"", 0.001, 2, ""softmax""]}"
model_0599,168.45,,0.0,199.8,,"[9, 45, 36, 17, 9, 38, 10, 15, 29, 9, 46, 41, 11, 40, 44, 44, 33, 41, 39, 29, 49]",21,"{""0"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""1"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""2"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""3"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""4"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""5"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""6"": [""Conv2D"", 64, [1, 1], [2, 2], ""same""], ""7"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""9"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""10"": [""ZeroPadding2D"", [[1, 0], [1, 0]]], ""11"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""12"": [""Conv2D"", 64, [3, 3], [1, 1], ""same""], ""13"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""14"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""15"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""16"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""17"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""18"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""19"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""20"": [""end"", 0.001, 2, ""softmax""]}"
model_0600,125.65,22.28,74.24,102.5,0.8167,"[2, 36, 10, 14, 47, 5, 13, 1, 16, 31, 10, 16, 49]",13,"{""0"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""2"": [""Conv2D"", 64, [1, 1], [2, 2], ""same""], ""3"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""4"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""5"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""6"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""7"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""8"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""9"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""10"": [""Conv2D"", 64, [1, 1], [2, 2], ""same""], ""11"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""12"": [""end"", 0.001, 2, ""softmax""]}"
model_0601,1605.99,22.28,69.63,118.87,0.5,"[33, 36, 22, 14, 16, 48, 37, 17, 2, 1, 24, 4, 6, 35, 27, 36, 44, 5, 6, 17, 48, 24, 49]",23,"{""0"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""2"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""3"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""4"": [""Conv2D"", 128, [3, 3], [2, 2], ""same""], ""5"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""6"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""7"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""8"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""9"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""10"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""11"": [""Conv2D"", 16, [3, 3], [2, 2], ""same""], ""12"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""13"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""14"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""15"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""16"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""17"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""18"": [""Conv2D"", 32, [1, 1], [2, 2], ""same""], ""19"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""20"": [""ZeroPadding2D"", [[0, 0], [0, 0]]], ""21"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""22"": [""end"", 0.001, 2, ""softmax""]}"
model_0602,31.164,56.58,137.3,116.24,0.5,"[38, 44, 2, 12, 28, 31, 31, 4, 17, 43, 33, 49]",12,"{""0"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""1"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""2"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""3"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""4"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""5"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""6"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""7"": [""Conv2D"", 16, [3, 3], [2, 2], ""same""], ""8"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""9"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""10"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""11"": [""end"", 0.001, 2, ""softmax""]}"
model_0603,706.37,,0.0,181.99,,"[19, 42, 45, 37, 7, 9, 25, 42, 47, 13, 5, 41, 45, 17, 14, 17, 37, 15, 36, 14, 14, 14, 38, 18, 22, 45, 49]",27,"{""0"": [""Conv2D"", 256, [3, 3], [1, 1], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""2"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""3"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""4"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""5"": [""Conv2D"", 64, [1, 1], [1, 1], ""same""], ""6"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""7"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""8"": [""ZeroPadding2D"", [[1, 1], [1, 1]]], ""9"": [""Conv2D"", 128, [1, 1], [1, 1], ""same""], ""10"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""11"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""same""], ""12"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""13"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""14"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""15"": [""Conv2D"", 256, [1, 1], [1, 1], ""same""], ""16"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""valid""], ""17"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""18"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""19"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""20"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""21"": [""Conv2D"", 128, [1, 1], [2, 2], ""same""], ""22"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""23"": [""Conv2D"", 256, [1, 1], [2, 2], ""same""], ""24"": [""Conv2D"", 512, [1, 1], [2, 2], ""same""], ""25"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""26"": [""end"", 0.001, 2, ""softmax""]}"
model_0604,1029.218,52.17,264.19,111.44,0.5,"[8, 35, 2, 5, 12, 10, 24, 44, 39, 39, 15, 12, 1, 7, 40, 12, 39, 26, 49]",19,"{""0"": [""Conv2D"", 32, [3, 3], [2, 2], ""same""], ""1"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""2"": [""Conv2D"", 16, [1, 1], [2, 2], ""same""], ""3"": [""Conv2D"", 32, [1, 1], [1, 1], ""same""], ""4"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""5"": [""Conv2D"", 64, [1, 1], [2, 2], ""same""], ""6"": [""Conv2D"", 512, [3, 3], [2, 2], ""same""], ""7"": [""ZeroPadding2D"", [[0, 1], [0, 1]]], ""8"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""9"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""10"": [""Conv2D"", 128, [3, 3], [1, 1], ""same""], ""11"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""12"": [""Conv2D"", 16, [1, 1], [1, 1], ""same""], ""13"": [""Conv2D"", 32, [3, 3], [1, 1], ""same""], ""14"": [""DepthwiseConv2D"", [3, 3], [2, 2], ""valid""], ""15"": [""Conv2D"", 64, [3, 3], [2, 2], ""same""], ""16"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""17"": [""DepthwiseConv2D"", [3, 3], [1, 1], ""same""], ""18"": [""end"", 0.001, 2, ""softmax""]}"
