model,params [K],sipeed_latency [ms],kmodel_memory [KB],cpu_latency [ms],accuracy,token_sequence,length,model_info
model_021,22.49,,,,0.83,"[49, 53, 151, 260, 382]",5,"{""0"": [""Conv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""4"": [2, ""softmax""]}"
model_022,6.266,,,,0.73,"[85, 58, 337, 118, 248, 315, 382]",7,"{""0"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""5"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_023,6.808,,,,0.51,"[336, 65, 351, 67, 382]",5,"{""0"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_024,7.778,,,,0.51,"[157, 74, 35, 317, 16, 314, 143, 76, 225, 359, 77, 227, 382]",13,"{""0"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""valid"", ""relu""], ""6"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""7"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""8"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""9"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""10"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""11"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""same"", ""sigmoid""], ""12"": [2, ""softmax""]}"
model_025,6.037999999999999,,,,0.72,"[220, 313, 8, 72, 36, 67, 68, 5, 382]",9,"{""0"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""5"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""6"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""7"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""8"": [2, ""softmax""]}"
model_026,3.207,,,,0.49,"[235, 291, 70, 360, 30, 187, 157, 382]",8,"{""0"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""6"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""7"": [2, ""softmax""]}"
model_027,8.357999999999999,,,,0.51,"[225, 351, 121, 187, 110, 289, 282, 382]",8,"{""0"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""valid"", ""relu""], ""7"": [2, ""softmax""]}"
model_028,5.432,,,,0.49,"[223, 9, 232, 248, 179, 300, 276, 1, 72, 355, 220, 200, 37, 382]",14,"{""0"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""same"", ""relu""], ""6"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""7"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""8"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""9"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""10"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""11"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""12"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""13"": [2, ""softmax""]}"
model_029,18.114,,,,0.51,"[153, 194, 171, 30, 212, 279, 268, 214, 382]",9,"{""0"": [""Conv2D"", 40, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""5"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""7"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""valid"", ""relu""], ""8"": [2, ""softmax""]}"
model_030,19.234,,,,0.87,"[104, 175, 346, 382]",4,"{""0"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""3"": [2, ""softmax""]}"
