model,params [K],sipeed_latency [ms],kmodel_memory [KB],cpu_latency [ms],accuracy,token_sequence,length,model_info
model_259,4.36,,,,0.72,"[258, 96, 76, 19, 276, 38, 61, 292, 382]",9,"{""0"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""5"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""6"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""7"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""8"": [2, ""softmax""]}"
model_260,2.263,,,,0.73,"[268, 196, 309, 72, 10, 86, 73, 331, 382]",9,"{""0"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""5"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""6"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""7"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""8"": [2, ""softmax""]}"
model_261,7.367999999999999,,,,0.8,"[328, 78, 116, 31, 105, 112, 382]",7,"{""0"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""6"": [2, ""softmax""]}"
model_262,34.616,,,,0.51,"[283, 85, 219, 66, 382]",5,"{""0"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""4"": [2, ""softmax""]}"
model_263,3.358,,,,0.76,"[324, 245, 36, 133, 230, 313, 382]",7,"{""0"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""5"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_264,15.689,,,,0.51,"[202, 147, 308, 178, 48, 7, 325, 382]",8,"{""0"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""5"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""7"": [2, ""softmax""]}"
model_265,8.346,,,,0.51,"[64, 193, 265, 215, 20, 382]",6,"{""0"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_266,3.042,,,,0.8,"[156, 284, 330, 210, 382]",5,"{""0"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""4"": [2, ""softmax""]}"
model_267,4.958,,,,0.49,"[357, 233, 266, 77, 382]",5,"{""0"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_268,114.274,,,,0.64,"[136, 359, 265, 382]",4,"{""0"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [2, ""softmax""]}"
model_269,5.414,,,,0.51,"[210, 360, 132, 303, 325, 8, 326, 140, 368, 382]",10,"{""0"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""6"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""7"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""8"": [""Dense"", 16, ""relu""], ""9"": [2, ""softmax""]}"
model_270,47.242,,,,0.51,"[29, 268, 195, 291, 90, 382]",6,"{""0"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_271,21.586,,,,0.69,"[99, 66, 308, 37, 110, 307, 382]",7,"{""0"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""5"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_272,2.8480000000000003,,,,0.51,"[356, 75, 194, 28, 239, 201, 382]",7,"{""0"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [3, 3], ""same"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_273,26.305999999999997,,,,0.82,"[162, 180, 121, 69, 382]",5,"{""0"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_274,3.714,,,,0.66,"[125, 119, 246, 355, 382]",5,"{""0"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_275,6.237,,,,0.49,"[195, 298, 190, 151, 151, 32, 233, 159, 255, 382]",10,"{""0"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""6"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""7"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""sigmoid""], ""8"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""9"": [2, ""softmax""]}"
model_276,22.354,,,,0.51,"[151, 164, 165, 70, 25, 243, 109, 152, 368, 382]",10,"{""0"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""6"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""7"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""8"": [""Dense"", 16, ""relu""], ""9"": [2, ""softmax""]}"
model_277,36.8,,,,0.51,"[260, 76, 13, 75, 313, 39, 219, 277, 217, 141, 148, 382]",12,"{""0"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""7"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""8"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""9"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""10"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""11"": [2, ""softmax""]}"
model_278,17.304000000000002,,,,0.78,"[280, 79, 19, 328, 382]",5,"{""0"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""4"": [2, ""softmax""]}"
model_279,4.74,,,,0.49,"[244, 262, 236, 196, 143, 91, 275, 183, 40, 199, 382]",11,"{""0"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""4"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 24, [2, 2], [2, 2], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""same"", ""sigmoid""], ""7"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""8"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""9"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""10"": [2, ""softmax""]}"
model_280,981.3539999999999,,,,0.78,"[25, 157, 133, 382]",4,"{""0"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""3"": [2, ""softmax""]}"
model_281,18.394000000000002,,,,0.51,"[96, 160, 195, 133, 17, 355, 218, 186, 242, 260, 287, 110, 82, 382]",14,"{""0"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""7"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""8"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""9"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""10"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""11"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""12"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""relu""], ""13"": [2, ""softmax""]}"
model_282,24.241999999999997,,,,0.77,"[73, 332, 93, 76, 382]",5,"{""0"": [""Conv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 24, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 24, [1, 1], [1, 1], ""same"", ""relu""], ""4"": [2, ""softmax""]}"
model_283,6.417999999999999,,,,0.51,"[77, 292, 235, 56, 166, 382]",6,"{""0"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_284,12.158,,,,0.51,"[307, 274, 206, 83, 328, 39, 246, 124, 142, 382]",10,"{""0"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""7"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""8"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""9"": [2, ""softmax""]}"
model_285,13.008,,,,0.51,"[188, 139, 288, 330, 142, 327, 155, 251, 48, 382]",10,"{""0"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""5"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""6"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""7"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""8"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""9"": [2, ""softmax""]}"
model_286,34.098,,,,0.49,"[159, 119, 218, 115, 141, 151, 375, 382]",8,"{""0"": [""Conv2D"", 40, [2, 2], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 32, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""sigmoid""], ""6"": [""Dense"", 32, ""sigmoid""], ""7"": [2, ""softmax""]}"
model_287,26.386,,,,0.51,"[62, 183, 129, 316, 44, 277, 121, 382]",8,"{""0"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""6"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""7"": [2, ""softmax""]}"
model_288,6.04,,,,0.51,"[327, 40, 278, 359, 11, 343, 136, 382]",8,"{""0"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""5"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""6"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""7"": [2, ""softmax""]}"
model_289,12.299000000000001,,,,0.49,"[291, 334, 306, 183, 80, 352, 312, 253, 144, 63, 215, 382]",12,"{""0"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""5"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""relu""], ""6"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""7"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""8"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""9"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""10"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""11"": [2, ""softmax""]}"
model_290,2.0340000000000003,,,,0.51,"[149, 22, 255, 356, 22, 229, 230, 352, 382]",9,"{""0"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [2, 2], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""4"": [""Conv2D"", 8, [2, 2], [3, 3], ""valid"", ""relu""], ""5"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""7"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""relu""], ""8"": [2, ""softmax""]}"
model_291,11.354000000000001,,,,0.81,"[78, 155, 125, 201, 87, 113, 364, 382]",8,"{""0"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""6"": [""Dense"", 8, ""relu""], ""7"": [2, ""softmax""]}"
model_292,2.69,,,,0.49,"[77, 329, 112, 191, 43, 382]",6,"{""0"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_293,0.56,,,,0.5,"[285, 8, 260, 245, 382]",5,"{""0"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [2, ""softmax""]}"
model_294,4.802,,,,0.49,"[19, 54, 187, 61, 26, 355, 382]",7,"{""0"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""6"": [2, ""softmax""]}"
model_295,18.24,,,,0.51,"[221, 146, 35, 307, 148, 131, 289, 263, 135, 382]",10,"{""0"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 8, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""5"": [""Conv2D"", 32, [2, 2], [3, 3], ""same"", ""sigmoid""], ""6"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""7"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""same"", ""sigmoid""], ""8"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""sigmoid""], ""9"": [2, ""softmax""]}"
model_296,13.862,,,,0.51,"[335, 206, 103, 182, 97, 122, 189, 125, 288, 364, 382]",11,"{""0"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""6"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""7"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""8"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""same"", ""relu""], ""9"": [""Dense"", 8, ""relu""], ""10"": [2, ""softmax""]}"
model_297,24.258000000000003,,,,0.84,"[94, 162, 78, 103, 367, 382]",6,"{""0"": [""Conv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""Dense"", 16, ""sigmoid""], ""5"": [2, ""softmax""]}"
