model,params [K],accuracy,token_sequence,model_info
model_0137,4.489,0.86,"[312, 26, 330, 162, 113, 382]","{""0"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0138,19.082,0.79,"[42, 169, 64, 317, 233, 382]","{""0"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0139,18.456,0.87,"[295, 102, 178, 104, 359, 382]","{""0"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0140,0.176,0.49,"[336, 351, 296, 357, 221, 382]","{""0"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0141,35.706,0.88,"[16, 138, 55, 61, 232, 382]","{""0"": [""Conv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0142,1.152,0.51,"[285, 15, 8, 280, 252, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0143,8.24,0.51,"[192, 111, 6, 133, 209, 382]","{""0"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 8, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0144,2.84,0.78,"[279, 142, 235, 354, 18, 382]","{""0"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0145,99.506,0.78,"[26, 157, 161, 306, 171, 382]","{""0"": [""Conv2D"", 8, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0146,3.605,0.51,"[343, 261, 248, 63, 130, 382]","{""0"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 32, [2, 2], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0147,27.706,0.51,"[127, 161, 98, 348, 136, 382]","{""0"": [""Conv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0148,45.634,0.84,"[86, 78, 146, 357, 169, 382]","{""0"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0149,8.256,0.86,"[314, 34, 100, 17, 144, 382]","{""0"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 8, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0150,6.77,0.83,"[144, 81, 168, 248, 327, 382]","{""0"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""4"": [""DepthwiseConv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0151,16.514,0.86,"[78, 169, 126, 190, 77, 382]","{""0"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 24, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0152,83.826,0.49,"[121, 19, 211, 219, 145, 382]","{""0"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0153,10.841,0.51,"[341, 117, 133, 345, 20, 382]","{""0"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0154,12.858,0.51,"[101, 355, 199, 63, 316, 382]","{""0"": [""Conv2D"", 24, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0155,8.122,0.87,"[40, 165, 42, 14, 156, 382]","{""0"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 16, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [2, 2], [1, 1], ""valid"", ""relu""], ""4"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0156,2.978,0.75,"[144, 247, 114, 359, 353, 382]","{""0"": [""Conv2D"", 32, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0157,1842.382,0.51,"[88, 147, 199, 63, 374, 382]","{""0"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""Dense"", 28, ""relu""], ""5"": [2, ""softmax""]}"
model_0158,15.298,0.51,"[2, 341, 50, 29, 349, 382]","{""0"": [""Conv2D"", 8, [1, 1], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 16, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0159,3.902,0.81,"[350, 219, 48, 53, 84, 382]","{""0"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [1, 1], [3, 3], ""same"", ""relu""], ""3"": [""Conv2D"", 16, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 24, [1, 1], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0160,1.356,0.77,"[294, 320, 187, 125, 210, 382]","{""0"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0161,5.898,0.86,"[46, 71, 196, 24, 134, 382]","{""0"": [""Conv2D"", 16, [1, 1], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [2, 2], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 32, [3, 3], [1, 1], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0162,4.674,0.81,"[44, 15, 67, 323, 90, 382]","{""0"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0163,9.694,0.51,"[246, 355, 59, 319, 368, 382]","{""0"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [2, 2], [3, 3], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""Dense"", 16, ""relu""], ""5"": [2, ""softmax""]}"
model_0164,41.81,0.83,"[17, 62, 171, 66, 243, 382]","{""0"": [""Conv2D"", 8, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""1"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [2, 2], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0165,41.376,0.87,"[220, 40, 157, 65, 248, 382]","{""0"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 16, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0166,6.434,0.82,"[90, 249, 226, 96, 61, 382]","{""0"": [""Conv2D"", 24, [2, 2], [2, 2], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 16, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0167,33.53,0.87,"[56, 205, 46, 88, 124, 382]","{""0"": [""Conv2D"", 16, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 16, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""relu""], ""4"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0168,23.13,0.88,"[62, 156, 163, 177, 216, 382]","{""0"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""1"": [""Conv2D"", 40, [1, 1], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 40, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0169,6.09,0.8,"[46, 320, 140, 81, 313, 382]","{""0"": [""Conv2D"", 16, [1, 1], [3, 3], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 24, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 32, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0170,7.386,0.85,"[164, 322, 358, 67, 247, 382]","{""0"": [""Conv2D"", 40, [2, 2], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""valid"", ""relu""], ""3"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0171,29.158,0.51,"[295, 278, 123, 229, 359, 382]","{""0"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 32, [2, 2], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [3, 3], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0172,17.914,0.92,"[52, 140, 68, 244, 106, 382]","{""0"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""relu""], ""1"": [""Conv2D"", 32, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [3, 3], [1, 1], ""same"", ""relu""], ""4"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0173,16.474,0.84,"[127, 92, 122, 127, 129, 382]","{""0"": [""Conv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [2, 2], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 32, [2, 2], [1, 1], ""valid"", ""relu""], ""3"": [""Conv2D"", 32, [2, 2], [2, 2], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0174,3.578,0.79,"[96, 216, 43, 109, 113, 382]","{""0"": [""Conv2D"", 24, [2, 2], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 8, [3, 3], [3, 3], ""same"", ""relu""], ""2"": [""Conv2D"", 16, [1, 1], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 32, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 32, [1, 1], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0175,7.186,0.49,"[117, 309, 62, 234, 51, 382]","{""0"": [""Conv2D"", 32, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 16, [3, 3], [1, 1], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 16, [2, 2], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0176,4.288,0.49,"[295, 161, 298, 351, 211, 382]","{""0"": [""DepthwiseConv2D"", 32, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 32, [1, 1], [3, 3], ""valid"", ""relu""], ""3"": [""DepthwiseConv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0177,2.816,0.78,"[190, 116, 31, 21, 341, 382]","{""0"": [""DepthwiseConv2D"", 8, [1, 1], [3, 3], ""valid"", ""relu""], ""1"": [""Conv2D"", 32, [1, 1], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 8, [2, 2], [3, 3], ""valid"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 40, [2, 2], [2, 2], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0178,7.418,0.83,"[8, 97, 37, 94, 32, 382]","{""0"": [""Conv2D"", 8, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 16, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 24, [2, 2], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 8, [3, 3], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0179,96.176,0.51,"[259, 87, 181, 99, 176, 382]","{""0"": [""DepthwiseConv2D"", 24, [1, 1], [2, 2], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [2, 2], [1, 1], ""same"", ""sigmoid""], ""2"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0180,6.962,0.85,"[72, 279, 68, 106, 204, 382]","{""0"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 24, [3, 3], [1, 1], ""same"", ""sigmoid""], ""2"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""relu""], ""3"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [3, 3], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0181,10.866,0.77,"[107, 86, 71, 97, 46, 382]","{""0"": [""Conv2D"", 24, [3, 3], [3, 3], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [2, 2], [1, 1], ""valid"", ""relu""], ""2"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 24, [3, 3], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 16, [1, 1], [3, 3], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0182,22.642,0.51,"[152, 330, 148, 183, 200, 382]","{""0"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""2"": [""Conv2D"", 40, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""DepthwiseConv2D"", 8, [1, 1], [1, 1], ""same"", ""sigmoid""], ""4"": [""DepthwiseConv2D"", 8, [2, 2], [2, 2], ""same"", ""relu""], ""5"": [2, ""softmax""]}"
model_0183,2.522,0.73,"[67, 321, 29, 150, 9, 382]","{""0"": [""Conv2D"", 16, [3, 3], [2, 2], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""2"": [""Conv2D"", 8, [3, 3], [2, 2], ""valid"", ""sigmoid""], ""3"": [""Conv2D"", 40, [1, 1], [2, 2], ""valid"", ""relu""], ""4"": [""Conv2D"", 8, [1, 1], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0184,19.21,0.81,"[152, 290, 318, 168, 141, 382]","{""0"": [""Conv2D"", 40, [1, 1], [2, 2], ""same"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [1, 1], [1, 1], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""3"": [""Conv2D"", 40, [2, 2], [3, 3], ""same"", ""relu""], ""4"": [""Conv2D"", 32, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0185,4.718,0.77,"[231, 356, 271, 106, 71, 382]","{""0"": [""DepthwiseConv2D"", 16, [2, 2], [1, 1], ""same"", ""sigmoid""], ""1"": [""DepthwiseConv2D"", 40, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""DepthwiseConv2D"", 24, [2, 2], [2, 2], ""same"", ""sigmoid""], ""3"": [""Conv2D"", 24, [3, 3], [3, 3], ""valid"", ""relu""], ""4"": [""Conv2D"", 16, [3, 3], [3, 3], ""same"", ""sigmoid""], ""5"": [2, ""softmax""]}"
model_0186,28.57,0.51,"[15, 104, 171, 335, 138, 382]","{""0"": [""Conv2D"", 8, [2, 2], [1, 1], ""same"", ""sigmoid""], ""1"": [""Conv2D"", 24, [3, 3], [2, 2], ""same"", ""relu""], ""2"": [""Conv2D"", 40, [3, 3], [1, 1], ""same"", ""sigmoid""], ""3"": [""DepthwiseConv2D"", 40, [1, 1], [3, 3], ""same"", ""sigmoid""], ""4"": [""Conv2D"", 32, [3, 3], [2, 2], ""valid"", ""relu""], ""5"": [2, ""softmax""]}"
model_0187,16.53,0.83,"[158, 306, 220, 157, 33, 382]","{""0"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""relu""], ""1"": [""DepthwiseConv2D"", 32, [2, 2], [2, 2], ""valid"", ""relu""], ""2"": [""DepthwiseConv2D"", 16, [1, 1], [1, 1], ""same"", ""relu""], ""3"": [""Conv2D"", 40, [2, 2], [1, 1], ""valid"", ""sigmoid""], ""4"": [""Conv2D"", 8, [3, 3], [3, 3], ""valid"", ""sigmoid""], ""5"": [2, ""softmax""]}"
